StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00010008,31.5702,-85.2482,139.0,AL,ABBEVILLE,,15,-6,19480601-20180418, 83.6%,19830510-20180418, 70.2%,20001028-20180418, 65.8%
USC00010063,34.2110,-87.1784,239.6,AL,ADDISON,,15,-6,19480601-20240416, 84.6%,19860509-20240416, 80.4%,20050427-20240416, 71.5%
USC00010140,32.2322,-87.4104,53.3,AL,ALBERTA,,15,-6,19630926-20240403, 94.6%,19931229-20240403, 92.2%,20090214-20240403, 90.4%
USC00010252,31.3071,-86.5226,76.2,AL,ANDALUSIA 3 W,,15,-6,19800301-20180205, 89.1%,19990217-20180205, 92.3%,20080812-20180205, 97.5%
USC00010369,33.2941,-85.7788,311.5,AL,ASHLAND 3 ENE,,15,-6,19480601-20130804, 84.6%,19810101-20130804, 81.4%,19970418-20130804, 70.7%
USC00010370,33.2015,-85.8687,301.1,AL,ASHLAND 5 SSW,,15,-6,20231207-20240408, 98.4%,20240206-20240408, 98.4%,20240308-20240408, 96.9%
USC00010390,34.7752,-86.9508,210.0,AL,ATHENS,,15,-6,19820601-20240304, 84.5%,20030418-20240304, 93.1%,20130925-20240304, 98.8%
USC00010402,31.1820,-87.4390,91.4,AL,ATMORE,,15,-6,19480601-20240401, 64.4%,19860502-20240401, 84.9%,20050416-20240401, 95.8%
USC00010425,32.5992,-85.4653,166.1,AL,AUBURN NO.2,,15,-6,20001201-20240401, 85.3%,20120801-20240401, 98.4%,20180601-20240401, 97.1%
USC00010748,33.6971,-87.6488,150.3,AL,BERRY 3 NW,,15,-6,19480601-20240403, 79.6%,19860503-20240403, 81.6%,20050418-20240403, 87.8%
USC00010957,34.2008,-86.1633,326.1,AL,BOAZ,,15,-6,19480601-20240304, 82.8%,19860418-20240304, 75.2%,20050326-20240304, 92.5%
USC00011099,34.9809,-85.8101,203.3,AL,BRIDGEPORT 5 NW,,15,-6,19821101-20240301, 88.1%,20030702-20240301, 94.1%,20131031-20240301, 97.4%
USC00012124,32.8603,-85.7475,222.2,AL,DADEVILLE 2,,15,-6,19480601-20240404, 88.2%,19860503-20240404, 81.6%,20050418-20240404, 77.2%
USC00012172,30.2505,-88.0775,2.4,AL,DAUPHIN ISLAND #2,,15,-6,19750801-20240406, 91.9%,19991203-20240406, 88.7%,20120203-20240406, 90.4%
USC00012377,31.2833,-85.4000,95.1,AL,DOTHAN 4 NW,,15,-6,19520401-20240401, 84.4%,19880401-20240401, 82.2%,20060401-20240401, 83.0%
USC00012675,31.2970,-85.8900,102.7,AL,ENTERPRISE 4 W,,15,-6,19710401-20240402, 81.3%,19971001-20240402, 76.6%,20110101-20240402, 81.3%
USC00013043,34.4406,-85.7236,279.5,AL,FORT PAYNE,,15,-6,19480601-20240307, 85.8%,19860419-20240307, 85.5%,20050328-20240307, 97.5%
USC00013519,31.7901,-86.6087,104.2,AL,GREENVILLE,,15,-6,19710901-20240402, 89.1%,19971216-20240402, 84.3%,20110208-20240402, 95.0%
USC00013620,34.2314,-87.6352,280.4,AL,HALEYVILLE,,15,-6,19480601-20240417, 85.9%,19860510-20240417, 79.9%,20050428-20240417, 84.2%
USC00013645,34.1388,-87.9947,149.4,AL,HAMILTON,,15,-6,19671103-20240402, 80.9%,19960117-20240402, 79.6%,20100223-20240402, 87.2%
USC00014193,31.5253,-87.9277,67.1,AL,JACKSON,,15,-6,19611023-20240401, 81.9%,19930111-20240401, 87.3%,20080821-20240401, 95.4%
USC00014209,33.8259,-85.7812,192.0,AL,JACKSONVILLE,,15,-6,19480601-20240403, 83.2%,19860503-20240403, 74.0%,20050418-20240403, 88.3%
USC00015397,32.0347,-85.4740,125.6,AL,MIDWAY,,15,-6,19480601-20240401, 83.9%,19860502-20240401, 78.5%,20050416-20240401, 69.3%
USC00015553,32.2600,-86.2180,68.6,AL,MONTGOMERY 6SW,,15,-6,19980331-20240401, 89.3%,20110401-20240401, 97.2%,20170930-20240401, 98.4%
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,,15,-6,19671102-20140313, 93.5%,19910106-20140313, 93.4%,20020809-20140313, 94.5%
USC00018209,32.9205,-86.6708,207.3,AL,THORSBY EXP STATION,,15,-6,19700301-20240425, 89.7%,19970328-20240425, 90.2%,20101011-20240425, 89.4%
USC00018325,31.8351,-85.9329,168.9,AL,TROY #2,,15,-6,20120510-20230814, 96.4%,20171226-20230814, 99.3%,20201019-20230814, 99.7%
USC00018385,33.2108,-87.5932,44.2,AL,TUSCALOOSA OLIVER DAM,,15,-6,19580113-20240330, 71.7%,19910220-20240330, 64.4%,20070910-20240330, 85.7%
USC00018517,33.7418,-88.1251,90.5,AL,VERNON,,15,-6,19480601-20240425, 83.8%,19860514-20240425, 77.2%,20050504-20240425, 85.1%
USC00018670,33.7953,-86.8258,152.4,AL,WARRIOR,,15,-6,19720425-20240417, 79.1%,19980421-20240417, 83.2%,20110419-20240417, 90.4%
USC00018673,32.7747,-87.8306,33.5,AL,WARRIOR LOCK AND DAM,,15,-6,19571204-20240403, 84.2%,19910202-20240403, 82.0%,20070903-20240403, 87.3%
USC00020080,32.3698,-112.8599,533.7,AZ,AJO,,15,-7,19480701-20240301, 90.0%,19860501-20240301, 83.0%,20050331-20240301, 74.6%
USC00020487,35.1989,-112.4886,1546.9,AZ,ASH FORK 3,,15,-7,19480701-20240304, 88.7%,19860503-20240304, 85.8%,20050403-20240304, 86.0%
USC00020808,33.4783,-109.7516,1848.6,AZ,BLACK RIVER PUMPS,,15,-7,19480701-20240304, 84.5%,19860503-20240304, 75.8%,20050403-20240304, 74.3%
USC00021574,34.5397,-110.9155,2135.4,AZ,CHEVELON RANGER STATION,,15,-7,19820201-20240309, 85.1%,20030219-20240309, 86.8%,20130829-20240309, 99.4%
USC00021749,34.0500,-110.4500,1617.0,AZ,CIBECUE,,15,-7,19800701-20240213, 69.3%,20020423-20240213, 77.7%,20130319-20240213, 88.4%
USC00021870,32.0588,-109.8908,1274.1,AZ,COCHISE 4 SSE,,15,-7,19480701-20240403, 84.8%,19860518-20240403, 74.9%,20050425-20240403, 62.1%
USC00022329,34.2051,-112.3419,1804.4,AZ,CROWN KING,,15,-7,19800601-20240302, 80.8%,20020417-20240302, 78.2%,20130325-20240302, 93.8%
USC00022754,32.7480,-109.1213,1115.6,AZ,DUNCAN,,15,-7,19750828-20240405, 80.4%,19991216-20240405, 70.2%,20120209-20240405, 81.1%
USC00023009,35.1611,-111.7311,2171.7,AZ,FLAGSTAFF 4 SW,,15,-7,20030317-20240303, 68.8%,20130908-20240303, 97.1%,20181205-20240303, 95.2%
USC00024534,31.8352,-110.3552,1429.5,AZ,KARTCHNER CAVERNS,,15,-7,20100302-20240401, 86.0%,20170317-20240401, 97.7%,20200923-20240401, 98.8%
