StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years
USC00010008,722268-93843,34.69342997800981,17.0,31.5702,-85.2482,139.0,AL,ABBEVILLE,-6,19480601-20180418, 83.6%,46.0,45.0
USC00010063,722031-63839,30.677014718357,53.400000000000006,34.211,-87.1784,239.6,AL,ADDISON,-6,19480601-20240416, 84.6%,23.0,23.0
USC00010140,722266-13850,42.52439072434351,2.299999999999997,32.2322,-87.4104,53.3,AL,ALBERTA,-6,19630926-20240403, 94.6%,25.0,25.0
USC00010252,722275-99999,12.622760882276117,17.799999999999997,31.3071,-86.5226,76.2,AL,ANDALUSIA 3 W,-6,19800301-20180205, 89.1%,26.0,25.0
USC00010370,720265-63833,33.51155140460398,92.10000000000002,33.2015,-85.8687,301.1,AL,ASHLAND 5 SSW,-6,20231207-20240408, 98.4%,2.0,2.0
USC00010390,723230-03856,21.674109130094447,20.0,34.7752,-86.9508,210.0,AL,ATHENS,-6,19820601-20240304, 84.5%,43.0,43.0
USC00010402,722276-53820,45.607009532214235,12.400000000000006,31.182,-87.439,91.4,AL,ATMORE,-6,19480601-20240401, 64.4%,35.0,33.0
USC00010425,722284-03892,3.5179299886747795,69.9,32.5992,-85.4653,166.1,AL,AUBURN NO.2,-6,20001201-20240401, 85.3%,25.0,25.0
USC00010957,999999-63857,20.659053394085664,24.899999999999977,34.2008,-86.1633,326.1,AL,BOAZ,-6,19480601-20240304, 82.8%,0.0,0.0
USC00011099,999999-63896,36.697335744013124,10.300000000000011,34.9809,-85.8101,203.3,AL,BRIDGEPORT 5 NW,-6,19821101-20240301, 88.1%,0.0,0.0
USC00012124,720265-63833,20.597841114860753,13.199999999999989,32.8603,-85.7475,222.2,AL,DADEVILLE 2,-6,19480601-20240404, 88.2%,21.0,21.0
USC00012172,722235-13838,40.00977274312374,1.6,30.2505,-88.0775,2.4,AL,DAUPHIN ISLAND #2,-6,19750801-20240406, 91.9%,46.0,43.0
USC00012377,722269-03850,29.576104462289933,4.099999999999994,31.2833,-85.4,95.1,AL,DOTHAN 4 NW,-6,19520401-20240401, 84.4%,63.0,63.0
USC00012675,722269-03850,17.59377188200457,11.700000000000003,31.297,-85.89,102.7,AL,ENTERPRISE 4 W,-6,19710401-20240402, 81.3%,46.0,46.0
