StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,PCT_Good_Overlap_1h,Num_Year_Overlap,PCT_Good_Overlap_24h,KG
USC00319476,723066-13713,39.37198834740711,0.5,35.6939,-77.9461,33.5,NC,WILSON 3 SW,-5,19400801-20240415,82.6,84,72.6,23,77.5,14
USC00415410,722670-23042,3.307166147328145,3.8999999999999773,33.6897,-101.8219,989.1,TX,LUBBOCK 9 N,-6,19420901-20240402,94.7,82,83.9,23,87.6,7
USC00412404,722590-03927,41.69617005839479,45.0,33.2333,-97.2,210.0,TX,DENTON EXP STN,-6,19460801-20240307,92.0,78,79.2,23,81.0,14
USC00413133,722580-13960,36.545029821417714,3.6999999999999886,32.5338,-96.6608,143.3,TX,FERRIS,-6,19460701-20240304,89.2,78,73.6,23,79.5,14
USC00221389,722350-03940,39.19194609158511,13.799999999999997,32.6713,-90.0361,76.2,MS,CANTON 4N,-6,19471008-20240301,85.3,77,88.2,23,91.3,14
USC00417944,722630-23034,2.34861540910091,5.899999999999977,31.3708,-100.4943,576.1,TX,SAN ANGELO WFO,-6,19400101-20240418,24.9,84,92.3,23,89.4,6
USC00299686,747320-99999,10.351093521482218,27.0,32.7822,-106.1759,1221.0,NM,WHITE SANDS NAT'L MON.,-7,19471101-20240413,94.9,77,79.1,23,80.9,5
USW00023047,723630-23047,0.6639691952480841,0.2999999999999545,35.2203,-101.7173,1099.3,TX,AMARILLO AP,-6,19410201-20190402,93.0,78,81.9,23,82.4,7
USC00405108,723270-13897,35.08986379627611,19.0,36.2291,-86.318,160.0,TN,LEBANON,-6,19480901-20240401,85.9,76,92.7,23,94.4,14
USC00317079,723060-13722,13.23805886723713,1.9000000000000057,35.7908,-78.6988,121.9,NC,RALEIGH STATE UNIV,-5,19480601-20240410,76.0,76,89.9,23,92.2,14
USC00408562,723270-13897,42.671323541870265,48.099999999999994,36.471,-86.8415,227.1,TN,SPRINGFIELD EXPERIMENT STATION,-6,19480901-20240404,87.3,76,92.9,23,93.5,14
USC00406371,723270-13897,34.7618044259622,15.900000000000006,35.9204,-86.3727,163.1,TN,MURFREESBORO 5 N,-6,19480901-20240403,88.6,76,92.6,23,94.8,14
