StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years,PCT_Good_Overlap_1h,Num_Year_Overlap_1h,PCT_Good_Overlap_24h,Num_Year_Overlap_24h,KG
USW00012911,722535-12909,35.12440491827774,11.900000000000006,29.5325,-98.2623,221.9,TX,RANDOLPH AFB,-6,19401101-20240403, 92.3%,85.0,85.0,98.8,85.0,99.1,85.0,Cfa
USC00419527,723630-23047,49.6799545531183,62.700000000000045,34.7933,-101.5483,1036.3,TX,WAYSIDE,-6,19410601-20240422, 79.8%,81.0,80.0,96.1,79.0,95.8,78.0,BSk
USC00415410,722670-23042,3.307166147328145,3.899999999999977,33.6897,-101.8219,989.1,TX,LUBBOCK 9 N,-6,19420901-20240402, 94.7%,80.0,79.0,95.9,80.0,96.5,79.0,BSk
USC00413133,722580-13960,36.545029821417714,3.6999999999999886,32.5338,-96.6608,143.3,TX,FERRIS,-6,19460701-20240304, 89.2%,78.0,78.0,99.9,78.0,100.0,78.0,Cfa
USC00085612,747950-12867,13.98361791873897,8.7,28.1136,-80.654,10.7,FL,MELBOURNE WFO,-5,19420101-20240401, 95.0%,78.0,78.0,89.7,78.0,90.2,78.0,Cfa
USC00299156,723676-23048,8.19311302122433,15.400000000000093,35.2005,-103.6866,1245.4,NM,TUCUMCARI 4 NE,-7,19471101-20240401, 93.7%,78.0,78.0,99.4,78.0,98.9,77.0,BSk
USC00408562,723270-13897,42.671323541870265,48.1,36.471,-86.8415,227.1,TN,SPRINGFIELD EXPERIMENT STATION,-6,19480901-20240404, 87.3%,77.0,77.0,100.0,77.0,100.0,77.0,Cfa
USW00013802,724338-13802,0.0,4.0,38.55,-89.85,135.0,IL,BELLEVILLE SCOTT AAF,-6,19480701-20240401, 92.4%,77.0,77.0,99.9,77.0,99.9,77.0,Dfa
USC00121739,725330-14827,31.14399659653203,11.199999999999989,41.1452,-85.4898,254.2,IN,COLUMBIA CITY,-5,19480701-20240401, 88.2%,77.0,77.0,99.9,77.0,99.9,77.0,Dfa
USC00337935,745700-13840,26.1452486934099,39.89999999999998,39.9735,-83.8072,289.9,OH,SPRINGFIELD WATER TREATMENT PLANT,-5,19480801-20240401, 85.7%,77.0,77.0,99.8,77.0,99.9,77.0,Dfa
USC00112011,725340-14819,38.28918933942763,31.40000000000001,41.4492,-87.6221,216.4,IL,CRETE PUBLIC WORKS,-6,19480701-20240412, 88.3%,77.0,77.0,99.8,77.0,99.8,77.0,Dfa
USC00111577,725300-94846,27.806241988725823,15.0,41.7373,-87.7773,189.0,IL,CHICAGO MIDWAY AP 3SW,-6,19480701-20240401, 95.9%,77.0,77.0,99.7,77.0,99.7,77.0,Dfa
USC00357127,726940-24232,45.35825423503358,94.0,45.3033,-122.9133,157.0,OR,REX 1 S,-8,19480801-20240401, 96.4%,77.0,77.0,100.0,77.0,100.0,77.0,Csb
USC00110082,725440-14923,42.66859565055461,29.80000000000001,41.0578,-90.5655,204.8,IL,ALEXIS 1 SW,-6,19480701-20240408, 93.4%,77.0,77.0,100.0,77.0,100.0,77.0,Dfa
