StnID,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,POR_Date_Range_T,Num_Years_T,PCT_POR_Good_T,overlap_years
USC00410569,28.9798,-95.9749,15.8,TX,BAY CITY WATERWORKS,-6,19400601-20240417,57.1,84,19091001-20240331,116.0,70.2,85
USC00241737,47.8205,-112.1921,1172.0,MT,CHOTEAU,-7,19400101-20240401,93.8,84,18930101-20240504,132.0,83.6,85
USW00093914,31.7831,-95.6039,141.7,TX,PALESTINE 2 NE,-6,19400201-20240213,86.7,84,19300101-20240324,95.0,92.2,85
USC00414670,30.4452,-99.8044,532.5,TX,JUNCTION 4SSW,-6,19400301-20240401,90.4,84,18970127-20240503,128.0,75.0,85
USC00414570,33.2543,-100.5731,612.6,TX,JAYTON,-6,19400501-20240405,90.4,84,19100601-20240503,115.0,51.4,85
USC00319476,35.6939,-77.9461,33.5,NC,WILSON 3 SW,-5,19400801-20240415,82.6,84,19161001-20240502,109.0,81.6,85
USC00411017,31.1445,-99.3492,521.5,TX,BRADY,-6,19400501-20240401,93.3,84,18930101-20240331,132.0,67.3,85
USC00417074,33.1869,-102.8281,1120.1,TX,PLAINS,-6,19420701-20240403,93.6,82,19250101-20240504,100.0,71.2,83
USC00415410,33.6897,-101.8219,989.1,TX,LUBBOCK 9 N,-6,19420901-20240402,94.7,82,19110301-20240504,114.0,44.2,83
USC00089176,27.1006,-82.4364,2.4,FL,VENICE,-5,19420101-20240401,88.4,82,19270201-20240504,98.0,66.6,83
USC00085612,28.1136,-80.654,10.7,FL,MELBOURNE WFO,-5,19420101-20240401,95.0,82,19370721-20240503,88.0,94.8,83
USC00241127,45.4441,-105.4072,924.2,MT,BROADUS,-7,19420101-20240409,88.5,82,19200223-20240504,105.0,85.7,83
USC00418743,33.148,-95.6269,150.9,TX,SULPHUR SPRINGS,-6,19411001-20231204,88.7,82,18930101-20240504,132.0,68.3,83
USC00418845,29.6075,-99.2801,397.8,TX,TARPLEY 3S,-6,19400301-20210808,90.7,81,19371001-20210808,85.0,32.2,82
USC00412082,31.4072,-102.3577,778.5,TX,CRANE,-6,19430801-20240308,86.4,81,19280501-20240502,97.0,58.7,82
USC00414920,28.9838,-99.8684,238.4,TX,LA PRYOR,-6,19400201-20210901,84.8,81,19150401-20210831,107.0,55.3,82
