StnID,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,POR_Date_Range_T,Num_Years_T,PCT_POR_Good_T,overlap_years,PCT_Good_Overlap_1h,PCT_Good_Overlap_24h,Clim_Reg,KG
USC00410569,28.9798,-95.9749,15.8,TX,BAY CITY WATERWORKS,-6,19400601-20240417,57.1,84,19091001-20240331,116.0,70.2,85,87.1,89.5,S,14
USC00241737,47.8205,-112.1921,1172.0,MT,CHOTEAU,-7,19400101-20240401,93.8,84,18930101-20240504,132.0,83.6,85,96.2,98.1,NRP,7
USW00093914,31.7831,-95.6039,141.7,TX,PALESTINE 2 NE,-6,19400201-20240213,86.7,84,19300101-20240324,95.0,92.2,85,91.7,89.2,S,14
USC00414670,30.4452,-99.8044,532.5,TX,JUNCTION 4SSW,-6,19400301-20240401,90.4,84,18970127-20240503,128.0,75.0,85,84.5,88.7,S,6
USC00319476,35.6939,-77.9461,33.5,NC,WILSON 3 SW,-5,19400801-20240415,82.6,84,19161001-20240502,109.0,81.6,85,97.7,98.8,SE,14
USC00411017,31.1445,-99.3492,521.5,TX,BRADY,-6,19400501-20240401,93.3,84,18930101-20240331,132.0,67.3,85,97.6,97.7,S,6
USC00417074,33.1869,-102.8281,1120.1,TX,PLAINS,-6,19420701-20240403,93.6,82,19250101-20240504,100.0,71.2,83,89.3,92.7,S,7
USC00085612,28.1136,-80.654,10.7,FL,MELBOURNE WFO,-5,19420101-20240401,95.0,82,19370721-20240503,88.0,94.8,83,97.2,97.7,SE,14
USC00241127,45.4441,-105.4072,924.2,MT,BROADUS,-7,19420101-20240409,88.5,82,19200223-20240504,105.0,85.7,83,96.3,96.6,NRP,7
USC00418743,33.148,-95.6269,150.9,TX,SULPHUR SPRINGS,-6,19411001-20231204,88.7,82,18930101-20240504,132.0,68.3,83,93.5,93.1,S,14
USC00087851,28.3381,-82.2602,52.7,FL,SAINT LEO,-5,19440817-20240403,96.6,80,18950301-20240430,130.0,98.6,81,98.5,98.1,SE,14
USC00412404,33.2333,-97.2,210.0,TX,DENTON EXP STN,-6,19460801-20240307,92.0,78,19130601-20240331,112.0,96.7,79,96.7,96.7,S,14
USC00085895,26.84,-81.0872,10.7,FL,MOORE HAVEN LOCK 1,-5,19420101-20200722,86.9,78,19180401-20240504,107.0,94.3,79,98.2,99.1,SE,14
USC00349404,36.5758,-98.8797,459.6,OK,WAYNOKA,-6,19471001-20240401,89.8,77,19380401-20240504,87.0,96.5,78,96.8,97.4,S,14
